path_id,t,S,VS,delta_S,delta_V,gain_S,gain_V,tc,cum_pnl
118,9,95.9885,7.9144,0.7660,0.9528,-1.4310,2.0958,0.0001,-4.8610
118,10,93.7331,11.4295,0.6244,0.6298,-2.5230,2.8725,0.0001,-4.5116
118,11,90.4393,14.4443,0.4810,0.2502,0.5166,0.4296,0.0001,-3.5655
118,12,91.2666,15.1263,0.4688,0.1954,-1.1241,0.6541,0.0000,-4.0355
118,13,88.9298,17.7407,0.3769,0.0117,-0.2749,-0.2534,0.0001,-4.5639
118,14,88.3434,16.4439,0.4008,0.0886,0.5160,0.0142,0.0000,-4.0337
118,15,89.7126,17.6583,0.3694,0.0153,-1.1944,-0.0376,0.0000,-5.2656
118,16,86.7325,17.2342,0.3551,0.0288,0.0372,0.0305,0.0000,-5.1980
118,17,86.8331,19.2327,0.2892,-0.0832,0.1426,0.1190,0.0000,-4.9364
118,18,87.2347,23.3649,0.1613,-0.2484,-0.6125,0.0004,0.0001,-5.5486
118,19,85.1167,23.3600,0.1361,-0.2154,-0.2548,1.2111,0.0000,-4.5923
118,20,83.5374,18.4835,0.2496,-0.0447,-0.3091,-0.6061,0.0001,-5.5076
118,21,81.2668,21.2971,0.1684,-0.1897,0.1478,0.0385,0.0001,-5.3214
118,22,81.8588,20.4366,0.1767,-0.1295,-0.4375,0.7584,0.0000,-5.0006
118,23,79.2606,16.4394,0.2758,0.0219,-1.0098,-1.1803,0.0001,-7.1908
118,24,73.5450,25.5529,-0.0095,-0.3934,1.6191,-0.1598,0.0002,-5.7316
118,25,79.4154,18.2684,0.1922,-0.0101,0.0256,-1.7355,0.0001,-7.4416
118,26,76.7203,22.6802,0.0716,-0.2719,1.4392,0.0982,0.0001,-5.9044
118,27,84.2099,12.9854,0.3611,0.2232,0.4470,2.0214,0.0001,-3.4362
118,28,90.4513,5.5508,0.7034,0.7677,2.2246,-0.5167,0.0001,-1.7284
118,29,96.6118,3.2360,0.9276,1.2307,0.2032,0.1501,0.0001,-1.3751
119,0,100.0000,13.3333,0.5460,0.3838,0.0000,-0.0000,0.0002,-0.0002
119,1,102.1246,11.5574,0.6588,0.6324,-0.2722,1.1327,0.0001,0.8603
119,2,101.6260,14.5085,0.5559,0.3835,0.1007,-1.8139,0.0001,-0.8531
119,3,101.7788,11.6401,0.6462,0.5813,2.5046,-1.4284,0.0001,0.2230
119,4,106.2843,7.9149,0.8267,1.0937,-3.8636,3.3178,0.0001,-0.3228
119,5,100.3054,13.6221,0.5857,0.5502,-0.4093,0.4358,0.0002,-0.2965
119,6,99.8103,14.0206,0.5521,0.3684,0.5543,1.0530,0.0000,1.3107
119,7,100.7566,15.9344,0.5067,0.2302,-1.0100,1.2292,0.0000,1.5298
119,8,98.9272,19.2710,0.3996,0.0045,3.7753,-1.4080,0.0001,3.8970
119,9,106.3785,13.1552,0.6081,0.4222,-0.8687,-0.0043,0.0001,3.0239
119,10,104.2043,12.1969,0.6343,0.5015,-2.3133,0.0681,0.0000,0.7786
119,11,100.4001,12.3581,0.6102,0.4772,1.3047,-1.9342,0.0000,0.1492
119,12,102.4572,8.5016,0.7564,0.8221,0.5825,-0.6413,0.0001,0.0903
119,13,103.4118,7.1577,0.8533,1.1140,-0.4630,2.8442,0.0001,2.4715
119,14,102.7997,10.6173,0.7132,0.7758,0.2242,0.1536,0.0001,2.8492
119,15,103.0625,10.7552,0.6836,0.6482,2.6814,2.2372,0.0000,7.7679
119,16,106.8220,13.6388,0.6009,0.3935,-3.3048,1.5747,0.0001,6.0377
119,17,101.9875,16.0682,0.4881,0.1699,-1.5078,2.9817,0.0001,7.5115
